,missing_mfi,missing_3dp,SN,ne,Te,np,Tp,nalpha,Talpha,B0,db,db_a,dboB0,V0,v_r,dv,va,ma,p,rhoe,rhop,de,dp,betae,betap,vte,vtp,ld,zp,zm,zp_decay,zm_decay,sigma_c,sigma_r,ra,cos_a,qi,qk,fb,tb,tcf,lambda_c_fit,tce,lambda_c_e,tci,lambda_c_int,ttu,ttu_std,ttc,ttc_std,lambda_t_raw,lambda_t,Re_lt,Re_di,Re_tb,Vomni,pomni,Bomni,ms,mst,mat
db_a,0.030702306435451205,0.020567318174229507,0.06155701042556755,0.028465586256049228,0.23270865245888,-0.14361505922063078,0.5972551741146591,0.1440805755916684,0.443855053770994,0.45745555146413364,0.519707403641088,1.0,0.19432772528312128,0.34586259502580124,0.33738992537071755,0.5472996071472364,0.4505061128322111,-0.3186976161669394,0.2719261958437976,-0.33075491641186705,0.15630902249864617,0.05135624723977353,0.05135624753860118,-0.33675814585226976,0.223913066189765,0.22255507463676472,0.5809225523944573,0.1001845037214267,0.860105196013927,0.8505269723860607,0.6314996971306525,0.6740962836324078,0.004431709231798391,-0.09864032920338274,-0.019148488714939443,0.01027956805750546,0.1981692881671919,-0.25868692444990155,0.3539491650256071,-0.06275873623869564,0.07945030651442772,0.23053003931750893,0.07476249648585888,0.21999547037700948,0.065210678266424,0.24289478671521889,-0.1077137380827533,-0.05550732862419746,0.1432760877918796,0.06726628073339695,0.18259192526720797,0.37717942877720295,0.006951012471785926,0.21834759312744334,0.29204147055591423,0.3432718951565848,0.23906210034190042,0.45140106527418056,-0.4962952192008737,0.29752699304932423,0.2775872218673825
dboB0,-0.04081997309690281,0.016297948369388644,-0.0588047171240994,0.19678411364395937,-0.132967154935851,0.20480406520727357,0.09445656533264124,0.11523354555514914,0.0414749859367655,-0.12246050857961963,0.35175434479540113,0.19432772528312128,1.0,0.07876410712559496,0.0776937435767887,0.10673534091861675,-0.313078336216087,0.41810790189056046,0.20614644336598698,0.12148617178462329,0.20811806054489634,-0.14613937977503147,-0.1461393789479395,0.23380793749272114,0.3819085858579567,-0.13468091854856665,0.10711688296483556,-0.16915896547288034,0.1667381373026249,0.16250820291166357,0.031498200255770055,0.03687576557265269,-0.00038380704925337385,-0.19062636404748023,-0.059990618433866646,-0.0010567075903094637,-0.1960848191524557,-0.05690832379353024,0.15367577597817147,-0.04321772777591734,0.09665922075086941,0.11153583186083157,0.09770889683680167,0.11273032605154243,0.07737969354038218,0.09481108540846706,0.3139454492082646,0.21133360773152465,0.44597686618143606,0.3076014677045604,0.42778940985015257,0.42598695076805204,-0.14298228239608038,0.18002244002735196,0.06771618185640932,0.06847539043960164,0.2549206523621561,-0.15087617217643867,-0.12194070009117872,0.06051340164424068,0.3522302611742499
V0,-0.04628948527386074,-0.06118077328361614,-0.030315752749211885,-0.37244365467216645,0.291239853230953,-0.39488171796744165,0.756966750616064,-0.022853682279252427,0.7747722530444585,0.1350096040417002,0.1608385057431883,0.34586259502580124,0.07876410712559496,1.0,0.9996426139812791,0.5381865594441139,0.4763115397678068,-0.0775883342475444,0.17508711012482367,-0.048657218874289414,0.5870840330191905,0.46743392812327067,0.46743392743449186,-0.46812671542016887,0.1653396758886773,0.3079530095777597,0.8134284080373912,0.48106738715988784,0.3571014839674679,0.3324678285210677,0.08948759755800335,0.09299455164261554,0.015996507269978835,0.3143650932561839,0.10412387674108943,0.013452925435797757,0.40100581899649446,-0.5911309421087543,0.31194781380476744,-0.06520584351636022,-0.36966017280595087,-0.04564273477727369,-0.36533863100953645,-0.054116027636769606,-0.3632323049171534,0.0538125865401844,-0.6039520108118459,-0.47180898531360155,-0.2271518815373851,-0.35362599575626563,0.08840304733474408,0.5681448089623193,-0.1237365092936308,-0.18393755962056133,-0.07792680805692974,0.988900327909937,0.17358333009985932,0.15444646387815636,-0.3552403682546732,0.10752229229173087,0.21381237302474393
v_r,-0.04702839132570264,-0.06147286428952338,-0.03210896322272523,-0.3782878416411978,0.282795447121203,-0.3989034413844349,0.7487105173980075,-0.0322952150063103,0.76800191446811,0.12519780601342836,0.1505075886037149,0.33738992537071755,0.0776937435767887,0.9996426139812791,1.0,0.5201144176264259,0.47174689415724613,-0.07287814148838646,0.16686446689226309,-0.04190339928585994,0.5900497129027846,0.4719901474966955,0.471990146827182,-0.46604563714737146,0.16299918819813947,0.30091160335155087,0.8059388568839023,0.4834881254923024,0.34520659332461245,0.32097893124026194,0.07798327124683523,0.08212263888648946,0.015853780212281163,0.30539832313296844,0.09134932496689,0.013251583589034785,0.39950243910502975,-0.5896634406493226,0.30673491841036477,-0.06458270697414124,-0.3696604717865321,-0.04611742481772273,-0.3653504934045742,-0.05459664448588553,-0.3632865002230874,0.053224078264759035,-0.6022240952336712,-0.4722425117238411,-0.22728873192599405,-0.3556259597947395,0.08990469865953424,0.5679128132906758,-0.12364787617343266,-0.1871852823167941,-0.08033869426541838,0.9879463467883847,0.1661304278678471,0.14511576542431504,-0.34639178650472513,0.09179298584736588,0.1991309622222097
dv,0.022973894602844096,0.0057517813417780886,0.07178077021090072,0.12285790129858733,0.41612181260414016,0.03316700469853451,0.7051483813502262,0.29080580151664454,0.6523037848451531,0.5525296926619748,0.5930903530253913,0.5472996071472364,0.10673534091861675,0.5381865594441139,0.5201144176264259,1.0,0.4718468996217408,-0.3080662247225302,0.5093990553042456,-0.4163705757758908,0.09423995907359775,0.014517672371702081,0.0145176710053752,-0.3928271327608973,0.13069396261558563,0.4006112213654785,0.7171433451762512,0.1031540301540721,0.6554029606069754,0.6393683597291827,0.35376382828024255,0.34965352502664915,0.007497933894521283,0.6247451361698844,0.4275260679089973,0.007608883358080603,0.31577382089208245,-0.4308727768144989,0.451323758598166,-0.0678697688716451,-0.19344405910691242,-0.0035640766077859242,-0.18976413476125914,-0.006616108743123644,-0.19071134986315572,0.05032455580662329,-0.4039574517819052,-0.24626078123114867,-0.06744431336930841,-0.09385245723880928,-0.03841336647488586,0.34129662060792476,-0.08045038803457638,0.07309203894352014,0.0987331451804684,0.52354084093043,0.4308430081017009,0.5351697017922237,-0.558318306352733,0.7630963014154306,0.7460023936774778
va,0.0075941388983188475,-0.024929711087562974,0.06618439555434381,-0.25873788445191453,0.3577202841612169,-0.25129134170920725,0.425394474165076,0.05631130695214139,0.467030866077898,0.5475221583819578,0.310369227054297,0.4505061128322111,-0.313078336216087,0.4763115397678068,0.47174689415724613,0.4718468996217408,1.0,-0.6923040796827044,0.0427627270004939,-0.39741277882925435,-0.01905411573181788,0.46177941768404923,0.4617794176062158,-0.6282542026722866,-0.33033516840313343,0.34547074122807175,0.45315423430467977,0.5343592654859073,0.41422269777723303,0.4156050835163512,0.13451800436190547,0.13967672082437557,0.0033337583774408585,0.1407900705351837,0.044494662921023005,0.002469288958936073,0.42068123058413087,-0.33847316847415637,0.34705745967263435,-0.06015737312987801,0.04853354331884778,0.2549800794742779,0.0407293874219868,0.2387775761592846,0.039704976770832005,0.2836784078452086,-0.34162922482925445,-0.23777263258311893,-0.0860055227935379,-0.15449164006635,0.02328669536153907,0.28691469778984524,0.12328298947151377,0.050835300619632644,0.31950110227198225,0.475133883769406,0.04012190461788877,0.5730991267401582,-0.24382059075271076,0.3326911598788736,-0.0656856338577907
ma,-0.061168603381295976,-0.11758748081285066,-0.11526705447065942,0.14185684621296704,-0.24783613774434052,0.11593187879652965,-0.16828014214424686,-0.08384604037237808,-0.20898741206721322,-0.550475012629537,-0.3176582726832989,-0.3186976161669394,0.41810790189056046,-0.0775883342475444,-0.07287814148838646,-0.3080662247225302,-0.6923040796827044,1.0,0.03394112607403094,0.5592636706654893,0.3136236709251597,-0.20958834186022793,-0.20958833951558037,0.7995785455699517,0.6037168326459204,-0.2490777668394979,-0.20711848568254554,-0.25045168685193786,-0.2828495736326084,-0.2943887215244609,-0.07968460540450885,-0.08704787867132138,-0.0019152145535494454,-0.05842743827806854,-0.001955558802539835,-0.0032510625343628538,-0.39185889294004445,0.24861049205493854,-0.2511976874660983,0.07359708266693779,-0.13513194307153736,-0.19352357921743718,-0.13265858172363382,-0.1894819303393293,-0.13414623456819624,-0.1969055324379087,0.16906252405780328,0.21450221330655744,-0.10435197101932454,0.10205917439045817,0.09893177904936734,-0.14104857481006655,-0.08171535311971638,-0.07793178189363725,-0.2904484033097881,-0.08024381664157838,0.06616936776147218,-0.571478124544856,0.30155307487732225,-0.31843162102175704,0.17980963013828208
p,0.024691118891473744,-0.025500422800346333,0.03199247632146173,0.7558386492328807,0.17165020671991235,0.6450237342315588,0.37255319583077606,0.6159321738874562,0.23499257792396666,0.6921066192256687,0.7859670163437161,0.2719261958437976,0.20614644336598698,0.17508711012482367,0.16686446689226309,0.5093990553042456,0.0427627270004939,0.03394112607403094,1.0,-0.5462074801215523,-0.3105597492080433,-0.5540575600780386,-0.5540575593947584,-0.003976934976469039,0.2780943121135229,0.1653015296285634,0.3558489771854862,-0.4629753864449434,0.335913078083317,0.34037974717619374,0.09580201074928195,0.10659217565217638,-0.010601007457092844,0.29369814286928225,0.1406675410949115,-0.01138201880179531,0.12185831764945473,-0.18915954763616194,0.5747868081660205,-0.06927238769311012,-0.042391585896624784,0.03170471422402023,-0.040462126728779683,0.03218712434519913,-0.04400111748301226,0.04713774732968281,-0.18815091362639474,0.1231529750979285,-0.025590324819279652,0.2646357029771885,-0.10343003567109607,0.07035437460845552,-0.010793496948457,0.431262711744096,0.24484173347894217,0.14888023651824486,0.912089345329827,0.6461991249897393,-0.3364346193856869,0.36907765401921394,0.5375695689244384
rhoe,-0.06617753477043582,0.05804729262651633,-0.15667357423796358,-0.48687511071200235,0.06225369717963338,-0.473645439328148,-0.2379095860921181,-0.43294019573050474,-0.15210543553439004,-0.8048285239168083,-0.6937610133241692,-0.33075491641186705,0.12148617178462329,-0.048657218874289414,-0.04190339928585994,-0.4163705757758908,-0.39741277882925435,0.5592636706654893,-0.5462074801215523,1.0,0.6220203560924049,0.48615020402290315,0.48615020460846814,0.48136834047324045,0.2099888669146014,0.07441519328973176,-0.24812044145030468,0.45301397474215355,-0.3230029956853315,-0.3518387039639607,-0.08197526487633423,-0.1008342202705797,0.01982155175120696,-0.16900367929684013,-0.047681827630679754,0.02004808233087216,-0.37869546134421067,0.44038558611262474,-0.7314861676133935,0.159112547350999,-0.12160617166790821,-0.1457256684171849,-0.12014703579550999,-0.14467968842373238,-0.11336384666195197,-0.14068548763388983,0.20103446374384776,-0.028274294199073766,-0.2474534162755929,-0.27314522895104965,0.22316526902127154,-0.20767804333231887,-0.011459250799035143,-0.36674339575555787,-0.46287188558485354,-0.03376223693115334,-0.5585130982613049,-0.8007972945979962,0.3312571291556668,-0.42388608613561257,-0.18816762074947174
rhop,-0.06789863346277142,-0.0902568106877087,-0.1015393049869396,-0.5716253353848156,0.11836965463522844,-0.6059750315042757,0.47545995346164116,-0.3436028196560483,0.4791992106699561,-0.5117564479408352,-0.3786474992865281,0.15630902249864617,0.20811806054489634,0.5870840330191905,0.5900497129027846,0.09423995907359775,-0.01905411573181788,0.3136236709251597,-0.3105597492080433,0.6220203560924049,1.0,0.6458203130479495,0.6458203150418153,-0.04361248757953581,0.4727556296843893,0.1396778568536499,0.5053287249333103,0.5992165777124008,0.14105658999975337,0.09666142295180317,0.12343746856976662,0.11751336426671419,0.03445617064645024,0.03216622319549319,0.03260913558732864,0.03573952636987767,0.03142725069371478,-0.15641129343883098,-0.26716101235911804,0.03465317132723316,-0.3832199358131191,-0.21655403519075325,-0.3785939523013532,-0.2195401638067195,-0.3744231664193741,-0.15024248871317503,-0.27629399141847816,-0.39493010337144807,-0.23225704997603444,-0.4366320590867616,0.1627541722850592,0.27119815160389527,-0.1624551176079122,-0.43888665989775993,-0.4014339664256887,0.5941535130582539,-0.309337713375391,-0.49364195901503694,-0.2592804779776089,-0.2833276742741342,0.07285772002181691
de,-0.06343579257796074,0.0409514093193825,-0.09156593845253072,-0.7486704894084184,0.14789910855839342,-0.7002968718966597,0.18125883294755818,-0.4179684317983923,0.32458833711665136,-0.38888129612547706,-0.4424873853436101,0.05135624723977353,-0.14613937977503147,0.46743392812327067,0.4719901474966955,0.014517672371702081,0.46177941768404923,-0.20958834186022793,-0.5540575600780386,0.48615020402290315,0.6458203130479495,1.0,0.9999999999999942,-0.3453260031639187,-0.19434968466408276,0.15248805953280742,0.21794654243774753,0.949492009638897,0.03615231996227551,-0.01614222352025943,0.02095217059041379,0.0009134117546142197,0.05053352834255494,0.0003096305099207392,-0.016499989924130928,0.049743358499822796,0.1311345906907236,-0.030091696027087472,-0.3157224716068284,0.05025738597930411,-0.13080774494856584,0.016621660867958347,-0.13163647288334127,0.008182324119325363,-0.12609225803296323,0.0638502615541805,-0.18878577902714827,-0.34184294381059954,-0.2360503918433841,-0.435661409696863,0.18357900355229104,0.1857376828478718,0.012612930706332875,-0.39733739251245526,-0.20202344656184837,0.4597161143271191,-0.5102314008264716,-0.3625089385343927,0.06482082772573926,-0.1249967994017015,-0.27318705113033753
dp,-0.0634357928802721,0.0409514087063065,-0.09156594144302335,-0.7486704887214369,0.14789910794951902,-0.7002968708103765,0.18125883410180432,-0.4179684323703986,0.324588336243214,-0.3888812968260507,-0.4424873857408032,0.05135624753860118,-0.1461393789479395,0.46743392743449186,0.471990146827182,0.0145176710053752,0.4617794176062158,-0.20958833951558037,-0.5540575593947584,0.48615020460846814,0.6458203150418153,0.9999999999999942,1.0,-0.34532600212918535,-0.19434968168369857,0.1524880591650643,0.21794654320831383,0.9494920093749971,0.03615231951997208,-0.016142223044098965,0.020952172973757104,0.0009134140690034229,0.05053352781211394,0.0003096295216565319,-0.01649999011702735,0.04974335780778302,0.13113459056002452,-0.030091697614003737,-0.31572246995154674,0.05025738587277077,-0.13080774647717797,0.01662165914672209,-0.13163647446109566,0.008182322440184006,-0.12609225995052473,0.0638502590337537,-0.18878578117696776,-0.3418429440114015,-0.23605039264831296,-0.43566140958960425,0.18357900043432063,0.18573768162764678,0.012612930496807232,-0.3973373934781199,-0.2020234469220989,0.45971611423587333,-0.5102313999606537,-0.36250893946092205,0.06482082642670185,-0.1249968018208709,-0.27318705045532904
